album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Balakrishna Hit Songs,1,0tcKNQKbX2rUzDVusIXZ1N,Paalakolla Papa,spotify:track:0tcKNQKbX2rUzDVusIXZ1N,0.786,0.486,0.598,0.0,0.321,-5.024,0.0455,92.491,0.799,34
Balakrishna Hit Songs,2,6V6ac50KdPGOyCroTUd631,Oho Bhama,spotify:track:6V6ac50KdPGOyCroTUd631,0.612,0.739,0.929,3.29e-06,0.263,-3.143,0.13,90.974,0.898,24
Balakrishna Hit Songs,3,5wBCqWnJS9eowHMFTd0rmu,Srirasthu Shubhamasthu,spotify:track:5wBCqWnJS9eowHMFTd0rmu,0.651,0.502,0.668,0.0,0.345,-3.633,0.0314,97.06,0.472,18
Balakrishna Hit Songs,4,0pVE2dUVtBSae6nhR8T7Bv,Okkasaari Okkasaari,spotify:track:0pVE2dUVtBSae6nhR8T7Bv,0.526,0.638,0.677,0.0,0.165,-4.615,0.0324,132.843,0.606,23
Balakrishna Hit Songs,5,53bJ3dcdhXthwPPeghk0DH,Edu Ela Vesina,spotify:track:53bJ3dcdhXthwPPeghk0DH,0.561,0.704,0.783,0.0,0.175,-4.8,0.0677,80.521,0.865,16
Balakrishna Hit Songs,6,4m1LE3oxIbNeGcixZvzdVp,Chi Chi Paapa Chi,spotify:track:4m1LE3oxIbNeGcixZvzdVp,0.534,0.748,0.833,0.0,0.354,-4.225,0.123,104.985,0.652,13
Balakrishna Hit Songs,7,1HPJyN6BvVEUKiUODkSsr5,Maama Zabba Maama,spotify:track:1HPJyN6BvVEUKiUODkSsr5,0.5,0.712,0.862,7.18e-05,0.224,-4.542,0.101,128.342,0.453,13
Balakrishna Hit Songs,8,0zYudx6wCPUp9WyC1b6PVf,Lakadi Ka Polata,spotify:track:0zYudx6wCPUp9WyC1b6PVf,0.839,0.535,0.792,8.49e-06,0.124,-3.036,0.156,72.494,0.79,14
Chandrabose Golden Memories,1,6HKuEmJNhyJwo238SwCrQ9,"Panchangam Yeanga(From""Makkal Yen Pakkam"")",spotify:track:6HKuEmJNhyJwo238SwCrQ9,0.958,0.406,0.088,0.834,0.139,-24.503,0.042,94.468,0.511,13
Chandrabose Golden Memories,2,0PGlA2PFGXlEwSgGDlivbr,"Thennamara Thoppukulla Varuva(From""Micheal Raj"")",spotify:track:0PGlA2PFGXlEwSgGDlivbr,0.854,0.723,0.434,0.225,0.38,-10.535,0.224,78.42,0.775,8
Chandrabose Golden Memories,3,1BwBK8EDqnaTpnA32vEDbC,"Odakaraieley Orama(From""Ilayaraja Love bites"")",spotify:track:1BwBK8EDqnaTpnA32vEDbC,0.97,0.493,0.536,0.506,0.183,-13.136,0.0787,104.816,0.91,7
Chandrabose Golden Memories,4,6htHJSvahFZrMqeQ6oP7h9,"Vethala Madichi Kodutha(From""Pattisollai Thattadhe"")",spotify:track:6htHJSvahFZrMqeQ6oP7h9,0.911,0.554,0.344,0.439,0.103,-11.892,0.11,149.072,0.754,10
Chandrabose Golden Memories,5,4smBGDXczW2R3vWDiXKKVO,"Muthu Muthu Mala Pottu(From""Pen Butthi Munbutthi"")",spotify:track:4smBGDXczW2R3vWDiXKKVO,0.453,0.695,0.417,1.32e-05,0.254,-12.037,0.0396,133.363,0.716,6
Chandrabose Golden Memories,6,1nxMcG8huGfUqaNTJNSFqD,"Kakki Sattai Potta Machan(From""Sankar Guru"")",spotify:track:1nxMcG8huGfUqaNTJNSFqD,0.335,0.781,0.42,2.33e-05,0.041,-12.173,0.0851,141.169,0.829,6
Chandrabose Golden Memories,7,492EZAnY1CLSYWYp9bhwOD,"Hey Mallikai Poo Poothirukku(From""Thaimel Aanai"")",spotify:track:492EZAnY1CLSYWYp9bhwOD,0.753,0.555,0.392,0.0507,0.239,-11.44,0.0395,79.198,0.742,13
Chandrabose Golden Memories,8,5Nky2QPUkAsEgmvn1JwQMM,"Kaatukuilea Kavithai Paadi(From""Unnidam Mayangukiren"")",spotify:track:5Nky2QPUkAsEgmvn1JwQMM,0.663,0.721,0.293,1.12e-05,0.109,-15.261,0.0629,132.667,0.821,7
Chandrabose Golden Memories,9,0jbQ2cXkJSb0qt0WnJKvEq,"Samakozhi Koovura Neram(From""Vaazha Piranda Pookkal"")",spotify:track:0jbQ2cXkJSb0qt0WnJKvEq,0.797,0.623,0.578,0.106,0.0529,-8.539,0.0514,146.89,0.921,9
Chandrabose Golden Memories,10,4SOZO2DJ79HIWW9mtMDrmb,"Ku Ku Ku Kulirudhu Dhegam(From""Vasanthi"")",spotify:track:4SOZO2DJ79HIWW9mtMDrmb,0.526,0.797,0.545,0.00568,0.0968,-10.354,0.0378,121.732,0.663,4
Chandrabose Golden Memories,11,2czCVumZh5kzDcInsfMu2F,"Meesai Thudikuthamma(From""Vettaiyadu Vilayadu"")",spotify:track:2czCVumZh5kzDcInsfMu2F,0.991,0.682,0.39,0.895,0.118,-14.508,0.116,115.088,0.66,4
Chandrabose Golden Memories,12,5y9yILDsf1sUfWgGLgJOi5,"Thangamani Rangamani(From""Viduthalai"")",spotify:track:5y9yILDsf1sUfWgGLgJOi5,0.857,0.759,0.475,0.000169,0.0773,-10.514,0.162,135.401,0.855,9
The Essence of Bhagwad Gita,1,3oHFkJesxI5yDiDijQ4nJv,Mantra And Preface,spotify:track:3oHFkJesxI5yDiDijQ4nJv,0.799,0.63,0.245,0.0,0.179,-17.332,0.478,126.649,0.506,6
The Essence of Bhagwad Gita,2,13ndJa64Z5ZKl8PnAQzk2e,"Chapter 1 - Observing The Armies - Shlokas 1, 27, 31",spotify:track:13ndJa64Z5ZKl8PnAQzk2e,0.787,0.604,0.234,0.0,0.115,-14.139,0.136,104.984,0.416,2
The Essence of Bhagwad Gita,3,0kD9mOp94HUvW7EO7LZuid,"Chapter 2 - Geeta Saar - Shlokas 1,11,14,17,19,24,27,47,71",spotify:track:0kD9mOp94HUvW7EO7LZuid,0.806,0.55,0.249,0.0,0.0857,-13.085,0.183,100.857,0.351,2
The Essence of Bhagwad Gita,4,6j84fPPd1K6WTLTFBbL7hV,"Chapter 3 - Karma Yoga - Shlokas 4,8,19,21,31,35,38,43",spotify:track:6j84fPPd1K6WTLTFBbL7hV,0.743,0.674,0.347,0.0,0.159,-9.412,0.0994,105.086,0.474,1
The Essence of Bhagwad Gita,5,3n2KHNhsalwd4u9jT0Rqdg,"Chapter 4 - Transcendental Knowledge - Shlokas 7,8,11,17,21,40",spotify:track:3n2KHNhsalwd4u9jT0Rqdg,0.816,0.528,0.297,0.0,0.259,-9.948,0.137,150.215,0.406,0
The Essence of Bhagwad Gita,6,4PxBzTp6epRKhgKPnmuadF,"Chapter 5 - Karma Yoga - Shlokas 6,7,17,19,24",spotify:track:4PxBzTp6epRKhgKPnmuadF,0.729,0.671,0.401,0.0,0.27,-9.471,0.2,119.549,0.604,1
The Essence of Bhagwad Gita,7,0sqXzTUMMwKwZ2IufkuqcG,"Chapter 6 - Dhyan Yoga - Shlokas 1,4,5,36",spotify:track:0sqXzTUMMwKwZ2IufkuqcG,0.713,0.678,0.371,0.0,0.427,-11.325,0.192,119.751,0.344,0
The Essence of Bhagwad Gita,8,5HS2TAsJr5QJdIQyse4VQD,"Chapter 7 - Knowledge Of The Absolute - Shlokas 4,7,8,10,16,17,21,26",spotify:track:5HS2TAsJr5QJdIQyse4VQD,0.784,0.544,0.262,0.0,0.159,-12.103,0.084,108.824,0.218,0
The Essence of Bhagwad Gita,9,7yHPkNwDBm7FdFrEyE4mVh,"Chapter 8 - Attaining The Supreme - Shlokas 5,13,14,16",spotify:track:7yHPkNwDBm7FdFrEyE4mVh,0.835,0.574,0.301,0.0,0.114,-11.197,0.108,108.029,0.426,0
The Essence of Bhagwad Gita,10,0rO7LbTA5qFS0ovGCb4Kg6,"Chapter 9 - The Most Confidential Knowledge - Shlokas 6,16,17,19,26,27,29,30,34",spotify:track:0rO7LbTA5qFS0ovGCb4Kg6,0.767,0.653,0.327,0.0,0.157,-9.295,0.173,119.683,0.39,0
The Essence of Bhagwad Gita,11,5CUgbs4tr45x8GeaQMkr21,"Chapter 10 - The Oplulence Of The Absolute - Shlokas 3,20,39",spotify:track:5CUgbs4tr45x8GeaQMkr21,0.831,0.537,0.404,3.19e-06,0.186,-8.52,0.0559,118.852,0.558,0
The Essence of Bhagwad Gita,12,15yW7JiI8ikuQxCWEcUsHQ,"Chapter 11 - Vishwaroop Darshan - Shlokas 7,8,10,24,45,51",spotify:track:15yW7JiI8ikuQxCWEcUsHQ,0.784,0.713,0.357,0.0,0.127,-9.392,0.142,119.593,0.291,0
The Essence of Bhagwad Gita,13,0JVCVvBQxTO5Q1gKksdpNj,"Chapter 12 - Bhakti Yog - Shlokas 8,13,14",spotify:track:0JVCVvBQxTO5Q1gKksdpNj,0.827,0.721,0.326,2.18e-06,0.14,-9.698,0.0762,107.156,0.47,0
The Essence of Bhagwad Gita,14,09kkDPIoqgLWxeGv1orqRJ,"Chapter 13 - Nature, The Enjoyer And Consciousness- Shlokas 34",spotify:track:09kkDPIoqgLWxeGv1orqRJ,0.837,0.564,0.348,0.0,0.125,-8.591,0.213,79.032,0.426,0
The Essence of Bhagwad Gita,15,0yOZJOS1M9k9djVuKUwyIs,"Chapter 14 - The Three Modes Of Material Nature - Shlokas 2,9,14,15,17",spotify:track:0yOZJOS1M9k9djVuKUwyIs,0.875,0.671,0.277,0.0,0.195,-12.297,0.0911,110.099,0.447,0
The Essence of Bhagwad Gita,16,3Ru7SC1rOpwVwUTchHsKiD,"Chapter 15 - The Yoga Of The Supreme Person - Shlokas 15,19",spotify:track:3Ru7SC1rOpwVwUTchHsKiD,0.862,0.58,0.331,0.0,0.175,-9.489,0.144,123.833,0.429,0
The Essence of Bhagwad Gita,17,3LVmZVrX9Hk3gtwZgczgwe,"Chapter 16 - The Divine And The Demoniac Natures - Shlokas 16,19,22,24",spotify:track:3LVmZVrX9Hk3gtwZgczgwe,0.85,0.586,0.289,0.0,0.175,-10.108,0.136,120.053,0.507,0
The Essence of Bhagwad Gita,18,1ax71wQ5TYBjgETJWaigyc,"Chapter 17 - The Divisions Of Faith - Shlokas - 3,11,12,13,16,20,28",spotify:track:1ax71wQ5TYBjgETJWaigyc,0.822,0.556,0.368,0.0,0.212,-9.93,0.196,149.299,0.432,0
The Essence of Bhagwad Gita,19,2aBlYVskQW2IiCva8zS1lx,"Chapter 18 - The Perfection Of Renunciation - Shloas 5,7,11,46,56,62,66,70,71,78",spotify:track:2aBlYVskQW2IiCva8zS1lx,0.884,0.51,0.364,0.0,0.153,-8.964,0.153,149.582,0.4,0
Maa Baba,1,1mOHWWijWrOHulxBMPAwB6,O Sai,spotify:track:1mOHWWijWrOHulxBMPAwB6,0.685,0.438,0.542,0.0,0.162,-8.04,0.0537,89.132,0.659,14
Maa Baba,2,435LKb1DBZ1dbKrrtXeYh8,Sachcharitamu,spotify:track:435LKb1DBZ1dbKrrtXeYh8,0.696,0.673,0.495,0.0,0.419,-7.973,0.0448,144.63,0.812,3
Maa Baba,3,23QjLENcWNstU9ICPUcRhk,Endukani,spotify:track:23QjLENcWNstU9ICPUcRhk,0.698,0.698,0.421,0.0,0.107,-8.292,0.0416,127.3,0.535,2
Maa Baba,4,04lMgYpeEwjLRbkDYh58mm,Maa Sai,spotify:track:04lMgYpeEwjLRbkDYh58mm,0.67,0.522,0.517,0.0,0.223,-8.106,0.0509,88.966,0.71,20
Maa Baba,5,0JVe38iqrRTh2mbOkBPvny,Kalavarapadaku,spotify:track:0JVe38iqrRTh2mbOkBPvny,0.702,0.527,0.432,0.0,0.152,-7.766,0.0379,134.09,0.417,2
Banni Kannada Naadige,1,1f4d7nTQ74BZG16cvU0fKt,Kaliyoksulabha,spotify:track:1f4d7nTQ74BZG16cvU0fKt,0.307,0.835,0.521,1.04e-05,0.231,-11.448,0.0332,118.01,0.682,2
